drug	mode	measure	mean	std
Colistin	gpa_snps	F1-score_macro	0.10	0.57
Colistin	gpa_snps	F1-score_micro	0.22	0.30
Colistin	gpa_snps	neg_recall	0.13	0.85
Colistin	gpa_snps	npv	0.05	0.84
Colistin	gpa_snps	pos_recall	0.29	0.36
Colistin	gpa_snps	precision	0.20	0.26
Colistin	snps	auc	0.12	0.66
Colistin	snps	balanced_accuracy	0.09	0.61
Colistin	snps	F1-score_macro	0.10	0.57
Colistin	snps	F1-score_micro	0.23	0.30
Colistin	snps	neg_recall	0.13	0.85
Colistin	snps	npv	0.05	0.84
Colistin	snps	pos_recall	0.30	0.38
Colistin	snps	precision	0.20	0.27
Meropenem	expr	auc	0.17	0.80
Meropenem	expr	balanced_accuracy	0.13	0.75
Meropenem	expr	F1-score_macro	0.23	0.68
Meropenem	expr	F1-score_micro	0.36	0.68
Meropenem	expr	neg_recall	0.11	0.83
Meropenem	expr	npv	0.18	0.62
Meropenem	expr	pos_recall	0.35	0.66
Meropenem	expr	precision	0.37	0.70
Meropenem	expr_snps	auc	0.16	0.79
Meropenem	expr_snps	balanced_accuracy	0.13	0.73
Meropenem	expr_snps	F1-score_macro	0.23	0.67
Meropenem	expr_snps	F1-score_micro	0.35	0.67
Meropenem	expr_snps	neg_recall	0.13	0.81
Meropenem	expr_snps	npv	0.16	0.61
Meropenem	expr_snps	pos_recall	0.35	0.66
Meropenem	expr_snps	precision	0.37	0.70
Meropenem	gpa	auc	0.18	0.73
Meropenem	gpa	balanced_accuracy	0.16	0.70
Meropenem	gpa	F1-score_macro	0.28	0.60
Meropenem	gpa	F1-score_micro	0.42	0.55
Meropenem	gpa	neg_recall	0.11	0.87
Meropenem	gpa	npv	0.21	0.57
Meropenem	gpa	pos_recall	0.42	0.54
Meropenem	gpa	precision	0.43	0.58
Meropenem	gpa_expr	auc	0.18	0.84
Meropenem	gpa_expr	balanced_accuracy	0.15	0.79
Meropenem	gpa_expr	F1-score_macro	0.25	0.73
Meropenem	gpa_expr	F1-score_micro	0.37	0.71
Meropenem	gpa_expr	neg_recall	0.08	0.89
Meropenem	gpa_expr	npv	0.19	0.67
Meropenem	gpa_expr	pos_recall	0.36	0.69
Meropenem	gpa_expr	precision	0.37	0.75
Meropenem	gpa_expr_snps	auc	0.18	0.84
Meropenem	gpa_expr_snps	balanced_accuracy	0.15	0.79
Meropenem	gpa_expr_snps	F1-score_macro	0.25	0.72
Meropenem	gpa_expr_snps	F1-score_micro	0.37	0.71
Meropenem	gpa_expr_snps	neg_recall	0.08	0.89
Meropenem	gpa_expr_snps	npv	0.19	0.66
Meropenem	gpa_expr_snps	pos_recall	0.36	0.69
Meropenem	gpa_expr_snps	precision	0.37	0.75
Meropenem	gpa_snps	auc	0.17	0.73
Meropenem	gpa_snps	balanced_accuracy	0.16	0.70
Meropenem	gpa_snps	F1-score_macro	0.27	0.60
Meropenem	gpa_snps	F1-score_micro	0.42	0.56
Meropenem	gpa_snps	neg_recall	0.13	0.85
Meropenem	gpa_snps	npv	0.20	0.57
Meropenem	gpa_snps	pos_recall	0.41	0.55
