final all	Tobramycin_S-vs-R	Ceftazidim_S-vs-R	Ciprofloxacin_S-vs-R	Meropenem_S-vs-R	Colistin_S-vs-R
F1801	0.0	1.0	1.0	1.0	0
F1810	1.0	1.0	1.0	1.0	0
F1812	1.0	0.0	1.0		1
F1821	1.0	1.0	1.0	1.0	1
F1823	0.0			1.0	0
F1853	1.0	1.0	1.0	1.0	0
F1862	0.0	1.0			0
F1864	1.0	1.0	1.0	1.0	0
F1869	1.0	1.0	1.0	1.0	0
F1880	0.0	0.0		1.0	1
F1883	0.0		1.0	1.0	1
F1894	0.0	1.0		1.0	0
F1957	0.0		1.0	1.0	0
F1968	0.0	1.0	1.0		1
F1979	1.0	1.0	1.0	1.0	1
F1983	1.0	1.0	1.0	1.0	1
F1997	0.0	1.0	1.0	1.0	0
F2000	1.0	1.0	1.0	1.0	1
F2003	0.0	1.0	1.0	1.0	0
F2005	0.0	1.0	1.0	1.0	0
F2006	0.0	1.0	1.0		1
F2010	0.0	1.0	1.0	1.0	1
F2017	0.0	0.0	1.0	1.0	1
F2020	0.0	1.0	1.0	1.0	0
F2029	0.0		0.0	1.0	0
F2030	1.0	0.0	1.0		1
F2034	0.0	0.0	1.0		1
F2035	0.0	0.0		1.0	1
F2040	1.0	1.0	1.0	1.0	1
F2044	0.0	0.0		1.0	1
F2045	1.0	1.0	1.0	1.0	1
F2054	1.0	1.0	1.0	1.0	1
F2055	1.0	1.0	1.0	1.0	1
F2056	1.0		1.0	1.0	1
F2059	1.0		1.0	1.0	1
F2064	1.0	1.0	1.0	1.0	1
F2065	0.0			1.0	1
F2073	1.0	1.0	1.0	1.0	1
F2075	0.0	1.0	1.0		1
F2081	0.0			1.0	1
F2084	0.0		0.0		1
F2093	0.0	0.0		1.0	1
F2097	1.0	1.0	1.0	1.0	1
F2098	1.0	1.0	1.0	0.0	0
F2119		1.0	1.0	1.0	1
F2128	0.0			1.0	1
F2137	0.0	1.0	1.0	1.0	1
F2148	0.0	1.0	1.0	1.0	0
F2165	0.0	1.0	1.0	1.0	1
F2166	0.0	1.0	1.0	1.0	0
F2167	1.0	1.0	1.0	1.0	1
F2172	0.0			1.0	1
F2176	1.0	0.0	1.0		1
F2199	1.0	1.0	1.0	1.0	0
F2205	0.0		0.0		1
F2208	1.0		1.0	1.0	1
F2230	0.0	1.0	1.0	1.0	1
F2234	0.0	1.0	1.0	1.0	0
F2235	1.0	1.0	1.0	1.0	0
F2236	0.0	1.0	0.0		1
F2240	1.0	1.0	1.0	1.0	0
M70563004	0.0	1.0	0.0	1.0	0
M70564993	0.0			1.0	0
M70565254	0.0	1.0	0.0	1.0	1
M70565897	0.0	1.0		1.0	0
M70604538	0.0		1.0	1.0	1
M70608424	0.0		1.0	1.0	1
M70635118	1.0		1.0	1.0	0
M70638412	1.0	1.0	1.0	1.0	0
M70639645	0.0		0.0	1.0	0
M70640096	0.0	0.0	0.0	1.0	0
M70641593	0.0	0.0	0.0		0
M70646050	0.0	0.0		0.0	0
M70646077	0.0	0.0	0.0	0.0	1
M70647319	0.0	1.0	0.0	0.0	0
M70649365	0.0	0.0	1.0	1.0	1
M70652746	0.0	1.0	0.0		0
M70656672	0.0	0.0	0.0		0
M70663247	0.0	0.0	0.0	1.0	0
MHH0147	0.0	0.0	0.0		0
MHH0426	0.0	0.0		0.0	0
MHH0927	0.0	0.0	0.0	0.0	1
MHH0985		1.0		1.0	0
MHH14911	0.0		0.0		1
MHH14929	0.0	0.0		1.0	0
MHH14990	0.0		0.0	0.0	0
MHH15015	0.0	0.0	0.0	0.0	0
MHH15083	1.0	1.0	1.0		0
MHH15103	0.0	1.0		1.0	0
MHH15151	0.0	0.0	0.0	1.0	0
MHH15187	0.0		0.0	0.0	0
MHH15204	0.0	0.0		1.0	0
MHH1525	1.0	1.0	1.0		0
MHH15275	1.0	0.0	1.0	0.0	0
MHH15280	0.0	0.0	0.0		0
MHH15817	0.0	1.0		0.0	0
MHH16050	0.0	1.0	0.0	1.0	0
MHH16208	0.0			1.0	0
MHH16371	0.0		1.0	0.0	0
MHH16379	0.0	0.0	0.0	1.0	0
MHH16427	0.0			1.0	0
MHH16459	0.0	1.0	0.0	1.0	0
MHH16513	0.0	0.0	1.0	1.0	0
MHH16530	0.0	1.0	0.0	1.0	0
MHH16563	0.0		0.0		0
MHH16610	0.0	0.0	1.0	1.0	0
MHH16727	0.0		0.0		0
MHH16798	0.0	0.0	1.0	1.0	0
MHH16951		1.0	1.0	1.0	0
MHH17233	1.0	1.0	1.0	1.0	0
MHH17247	0.0	0.0	0.0	1.0	0
MHH17441	1.0	1.0	1.0	1.0	0
MHH17501	0.0	1.0		1.0	0
MHH17546	1.0	1.0	1.0	1.0	0
MHH17767	1.0	1.0	0.0	1.0	0
MHH17783	0.0	1.0	0.0	1.0	0
MHH1883	0.0		0.0	0.0	0
MHH2419	0.0	0.0	0.0	0.0	0
MS1	0.0	0.0	0.0	0.0	0
MS2	0.0	1.0	0.0	0.0	0
MS5	0.0	0.0	0.0	0.0	0
PSAE1401	0.0	0.0	0.0		1
PSAE1438	0.0	0.0	1.0	1.0	1
PSAE1439	0.0	0.0	1.0	1.0	1
PSAE1630	0.0	0.0			0
PSAE1635	0.0	0.0			0
PSAE1641	0.0	0.0	1.0	1.0	0
PSAE1642	0.0	0.0	0.0	0.0	0
PSAE1645	0.0	0.0		1.0	0
PSAE1647	0.0	0.0			0
PSAE1649	0.0	0.0	0.0	0.0	0
PSAE1651	0.0	0.0			0
PSAE1654	0.0	0.0			0
PSAE1656	0.0	0.0	0.0	0.0	0
PSAE1742	0.0	0.0	1.0	1.0	0
PSAE1745	1.0	0.0	1.0		0
PSAE1837	0.0	0.0	0.0	0.0	0
PSAE1872	0.0	0.0	0.0	1.0	0
PSAE1903	0.0	0.0	1.0	0.0	0
PSAE1912	0.0	0.0		1.0	0
PSAE1934	0.0	0.0	0.0	1.0	0
PSAE1970	0.0	0.0			0
PSAE1975	0.0	0.0	0.0	1.0	0
PSAE1984	0.0	0.0	0.0		1
PSAE2125	0.0		0.0	1.0	0
PSAE2126	0.0		0.0	1.0	0
PSAE2127	1.0		1.0	1.0	0
PSAE2139	1.0	1.0	1.0	1.0	0
PSAE2325	0.0	0.0	0.0	1.0	0
Vb20477	1.0	1.0	1.0	1.0	0
Vb3320	0.0	1.0		1.0	0
ZG02420619	0.0	0.0		1.0	0
ZG02488718	0.0	0.0	0.0	1.0	0
ZG02512057	0.0	0.0	0.0	1.0	0
ZG205565	0.0	0.0		0.0	0
ZG205694	0.0	0.0	0.0	0.0	0
ZG205710	0.0	0.0		0.0	0
ZG205864	1.0	1.0	1.0		0
ZG301975	0.0		0.0	1.0	0
ZG302359	0.0	0.0	0.0	0.0	0
ZG302367	0.0	0.0	0.0	0.0	1
ZG302368	0.0	0.0	0.0	0.0	0
ZG302370	0.0	0.0	1.0	0.0	0
ZG302383	0.0	0.0	0.0	0.0	0
ZG302431	0.0	0.0	0.0	0.0	1
ZG302432	0.0	0.0	0.0	0.0	0
ZG302442	0.0	0.0	0.0	0.0	0
ZG302451	0.0	0.0	0.0	0.0	0
ZG314696	0.0	0.0	0.0	0.0	0
ZG314738	0.0	0.0	0.0	0.0	0
ZG314777	0.0	0.0	0.0		0
ZG316694	0.0	0.0	0.0	0.0	0
ZG316704	0.0	0.0	0.0	0.0	0
ZG316716	0.0	0.0	0.0	0.0	0
ZG316722	0.0	0.0	0.0	0.0	0
ZG322541	1.0	1.0	1.0	1.0	1
ZG5003493	0.0	0.0		1.0	0
ZG5021922	1.0	1.0	1.0	1.0	0
ZG5048010	1.0	1.0	1.0	1.0	0
ZG5051896	1.0	1.0	1.0	1.0	0
ZG5089456	1.0	1.0	1.0	1.0	0
ZG8006959	1.0	1.0	1.0	1.0	0
ZG8038581181	1.0	1.0	1.0	1.0	0
ZG8510487	1.0	1.0	1.0	1.0	0
ZG8525123	1.0	1.0	1.0	1.0	0
