final all	Tobramycin_S-vs-R	Ceftazidim_S-vs-R	Ciprofloxacin_S-vs-R	Meropenem_S-vs-R	Tobramycin_SI-vs-R	Ceftazidim_SI-vs-R	Ciprofloxacin_SI-vs-R	Meropenem_SI-vs-R	Tobramycin_S-vs-IR	Ceftazidim_S-vs-IR	Ciprofloxacin_S-vs-IR	Meropenem_S-vs-IR	Tobramycin_S-vs-I	Ceftazidim_S-vs-I	Ciprofloxacin_S-vs-I	Meropenem_S-vs-I	Tobramycin_I-vs-R	Ceftazidim_I-vs-R	Ciprofloxacin_I-vs-R	Meropenem_I-vs-R	Tobramycin_I-vs-SR	Ceftazidim_I-vs-SR	Ciprofloxacin_I-vs-SR	Meropenem_I-vs-SR
CH2687	0.0	0.0	1.0	1.0	0	0	1	1	0	0	1	1	0.0	0.0					1.0	1.0	1	1	1	1
CH2690	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
CH2698	1.0	0.0	1.0	1.0	1	0	1	1	1	0	1	1		0.0			1.0		1.0	1.0	1	1	1	1
CH2699	1.0		1.0	1.0	1	0	1	1	1	1	1	1		1.0			1.0	0.0	1.0	1.0	1	0	1	1
CH2705	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
CH2706	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
CH2707	1.0	1.0	0.0	1.0	1	1	0	1	1	1	0	1			0.0		1.0	1.0		1.0	1	1	1	1
CH2713	0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	1	0.0	0.0	0.0					1.0	1	1	1	1
CH2718	0.0	0.0	0.0		0	0	0	0	0	0	0	1	0.0	0.0	0.0	1.0				0.0	1	1	1	0
CH2724	0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	1	0.0	0.0	0.0					1.0	1	1	1	1
CH2730	0.0	0.0	0.0		0	0	0	0	0	0	0	1	0.0	0.0	0.0	1.0				0.0	1	1	1	0
CH2734	0.0		1.0	0.0	0	0	1	0	0	1	1	0	0.0	1.0		0.0		0.0	1.0		1	0	1	1
CH2735	0.0	0.0	1.0	1.0	0	0	1	1	0	0	1	1	0.0	0.0					1.0	1.0	1	1	1	1
CH2747	0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	1	0.0	0.0	0.0					1.0	1	1	1	1
CH2748	1.0		1.0	1.0	1	0	1	1	1	1	1	1		1.0			1.0	0.0	1.0	1.0	1	0	1	1
CH2756	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
CH2764	0.0	1.0	0.0	0.0	0	1	0	0	0	1	0	0	0.0		0.0	0.0		1.0			1	1	1	1
CH2824	0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	1	0.0	0.0	0.0					1.0	1	1	1	1
CH2829	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
CH2848	0.0		0.0	0.0	0	0	0	0	0	1	0	0	0.0	1.0	0.0	0.0		0.0			1	0	1	1
CH2860	0.0	1.0	1.0	1.0	0	1	1	1	0	1	1	1	0.0					1.0	1.0	1.0	1	1	1	1
CH2875	1.0	0.0		1.0	1	0	0	1	1	0	1	1		0.0	1.0		1.0		0.0	1.0	1	1	0	1
CH2922	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
CH2939	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
CH3173	1.0	1.0	1.0	0.0	1	1	1	0	1	1	1	0				0.0	1.0	1.0	1.0		1	1	1	1
CH3177	0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	1	0.0	0.0	0.0					1.0	1	1	1	1
CH3290	1.0		1.0	1.0	1	0	1	1	1	1	1	1		1.0			1.0	0.0	1.0	1.0	1	0	1	1
CH3325	0.0	1.0	0.0	1.0	0	1	0	1	0	1	0	1	0.0		0.0			1.0		1.0	1	1	1	1
CH3462	0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	1	0.0	0.0	0.0					1.0	1	1	1	1
CH3466	0.0		1.0	1.0	0	0	1	1	0	1	1	1	0.0	1.0				0.0	1.0	1.0	1	0	1	1
CH3484	0.0	0.0		1.0	0	0	0	1	0	0	1	1	0.0	0.0	1.0				0.0	1.0	1	1	0	1
CH3549	0.0	0.0	0.0		0	0	0	0	0	0	0	1	0.0	0.0	0.0	1.0				0.0	1	1	1	0
CH3570	1.0	1.0	1.0	0.0	1	1	1	0	1	1	1	0				0.0	1.0	1.0	1.0		1	1	1	1
CH3613	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
CH3648	1.0	1.0	1.0	0.0	1	1	1	0	1	1	1	0				0.0	1.0	1.0	1.0		1	1	1	1
CH3797	0.0		1.0	1.0	0	0	1	1	0	1	1	1	0.0	1.0				0.0	1.0	1.0	1	0	1	1
CH3882	0.0	0.0	1.0		0	0	1	0	0	0	1	1	0.0	0.0		1.0			1.0	0.0	1	1	1	0
CH3906	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
CH4035	1.0	1.0	1.0		1	1	1	0	1	1	1	1				1.0	1.0	1.0	1.0	0.0	1	1	1	0
CH4083	0.0		0.0	1.0	0	0	0	1	0	1	0	1	0.0	1.0	0.0			0.0		1.0	1	0	1	1
CH4411	1.0	1.0	1.0	0.0	1	1	1	0	1	1	1	0				0.0	1.0	1.0	1.0		1	1	1	1
CH4418	0.0		0.0	0.0	0	0	0	0	0	1	0	0	0.0	1.0	0.0	0.0		0.0			1	0	1	1
CH4433	1.0	1.0	1.0	0.0	1	1	1	0	1	1	1	0				0.0	1.0	1.0	1.0		1	1	1	1
CH4438	0.0	1.0	1.0		0	1	1	0	0	1	1	1	0.0			1.0		1.0	1.0	0.0	1	1	1	0
CH4443	1.0	1.0	1.0	0.0	1	1	1	0	1	1	1	0				0.0	1.0	1.0	1.0		1	1	1	1
CH4446	0.0	0.0			0	0	0	0	0	0	1	1	0.0	0.0	1.0	1.0			0.0	0.0	1	1	0	0
CH4489	0.0	0.0	0.0	1.0	0	0	0	1	0	0	0	1	0.0	0.0	0.0					1.0	1	1	1	1
CH4509	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
CH4520	0.0		0.0	0.0	0	0	0	0	0	1	0	0	0.0	1.0	0.0	0.0		0.0			1	0	1	1
CH4528	0.0	0.0	1.0		0	0	1	0	0	0	1	1	0.0	0.0		1.0			1.0	0.0	1	1	1	0
CH4548	1.0	1.0	1.0	0.0	1	1	1	0	1	1	1	0				0.0	1.0	1.0	1.0		1	1	1	1
CH4549	0.0	0.0	0.0		0	0	0	0	0	0	0	1	0.0	0.0	0.0	1.0				0.0	1	1	1	0
CH4560	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
CH4584		1.0	1.0	1.0	0	1	1	1	1	1	1	1	1.0				0.0	1.0	1.0	1.0	0	1	1	1
CH4591	0.0	0.0			0	0	0	0	0	0	1	1	0.0	0.0	1.0	1.0			0.0	0.0	1	1	0	0
CH4602	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
CH4634	0.0	0.0	1.0	1.0	0	0	1	1	0	0	1	1	0.0	0.0					1.0	1.0	1	1	1	1
CH4681	0.0	1.0	0.0	0.0	0	1	0	0	0	1	0	0	0.0		0.0	0.0		1.0			1	1	1	1
CH4684	0.0		0.0	0.0	0	0	0	0	0	1	0	0	0.0	1.0	0.0	0.0		0.0			1	0	1	1
CH4703	0.0	1.0		1.0	0	1	0	1	0	1	1	1	0.0		1.0			1.0	0.0	1.0	1	1	0	1
CH4704	0.0	1.0	0.0	1.0	0	1	0	1	0	1	0	1	0.0		0.0			1.0		1.0	1	1	1	1
CH4733	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0					1	1	1	1
CH4745	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
CH4755	0.0	0.0	1.0	1.0	0	0	1	1	0	0	1	1	0.0	0.0					1.0	1.0	1	1	1	1
CH4757	0.0	1.0	0.0	1.0	0	1	0	1	0	1	0	1	0.0		0.0			1.0		1.0	1	1	1	1
CH4766	0.0	1.0		1.0	0	1	0	1	0	1	1	1	0.0		1.0			1.0	0.0	1.0	1	1	0	1
CH4780	0.0	1.0	1.0	1.0	0	1	1	1	0	1	1	1	0.0					1.0	1.0	1.0	1	1	1	1
CH4785	0.0		1.0	1.0	0	0	1	1	0	1	1	1	0.0	1.0				0.0	1.0	1.0	1	0	1	1
CH4840	0.0	1.0	0.0	1.0	0	1	0	1	0	1	0	1	0.0		0.0			1.0		1.0	1	1	1	1
CH4860	0.0	0.0	1.0	1.0	0	0	1	1	0	0	1	1	0.0	0.0					1.0	1.0	1	1	1	1
CH4862	1.0	0.0	1.0	1.0	1	0	1	1	1	0	1	1		0.0			1.0		1.0	1.0	1	1	1	1
CH4877	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1					1.0	1.0	1.0	1.0	1	1	1	1
CH4878	0.0	1.0	0.0		0	1	0	0	0	1	0	1	0.0		0.0	1.0		1.0		0.0	1	1	1	0
